citric acid,fixed acidity,residual sugar,pH,alcohol,quality
0,7.4,1.9,3.51,9.4,5
0,7.8,2.6,3.2,9.8,5
0.04,7.8,2.3,3.26,9.8,5
0.56,11.2,1.9,3.16,9.8,6
0,7.4,1.9,3.51,9.4,5
0,7.4,1.8,3.51,9.4,5
0.06,7.9,1.6,3.3,9.4,5
0,7.3,1.2,3.39,10,7
0.02,7.8,2,3.36,9.5,7
0.36,7.5,6.1,3.35,10.5,5
0.08,6.7,1.8,3.28,9.2,5
0.36,7.5,6.1,3.35,10.5,5
0,5.6,1.6,3.58,9.9,5
0.29,7.8,1.6,3.26,9.1,5
0.18,8.9,3.8,3.16,9.2,5
0.19,8.9,3.9,3.17,9.2,5
0.56,8.5,1.8,3.3,10.5,7
0.28,8.1,1.7,3.11,9.3,5
0.08,7.4,4.4,3.38,9,4
0.51,7.9,1.8,3.04,9.2,6
0.48,8.9,1.8,3.39,9.4,6
0.31,7.6,2.3,3.52,9.7,5
0.21,7.9,1.6,3.17,9.5,5
0.11,8.5,2.3,3.17,9.4,5
0.14,6.9,2.4,3.43,9.7,6
0.16,6.3,1.4,3.34,9.3,5
0.24,7.6,1.8,3.28,9.5,5
0.21,7.9,1.6,3.17,9.5,5
0,7.1,1.9,3.47,9.4,5
0,7.8,2,3.38,9.8,6
0.07,6.7,2.4,3.35,10.1,5
0,6.9,2.5,3.46,10.6,6
0.12,8.3,2.3,3.17,9.8,5
0.12,6.9,10.7,3.45,9.4,6
0.25,5.2,1.8,3.38,9.2,5
0,7.8,5.5,3.4,9.6,6
0.14,7.8,2.4,3.42,10.8,6
0.28,8.1,2.1,3.23,9.7,7
0.09,5.7,1.5,3.5,9.8,4
0.36,7.3,5.9,3.33,10.5,5
0.36,7.3,5.9,3.33,10.5,5
0.3,8.8,2.8,3.26,9.3,4
0.2,7.5,2.6,3.21,10.5,6
0.22,8.1,2.2,3.3,10.3,5
0.02,6.8,1.8,3.48,9.5,5
0.15,4.6,2.1,3.9,13.1,4
0.43,7.7,2.2,3.25,9.2,5
0.52,8.7,1.6,3.25,9.5,5
0.23,6.4,1.6,3.34,9.2,5
0.37,5.6,1.4,3.32,9.2,5
0.26,8.8,1.7,3.15,9.2,5
0.04,6.6,2.2,3.4,9.4,6
0.04,6.6,2.1,3.39,9.4,6
0.36,8.6,3,3.2,9.4,5
0.15,7.6,2.8,3.17,10.2,6
0.04,7.7,3.8,3.34,9.5,5
0.57,10.2,3.4,3.04,9.6,5
0.12,7.5,5.1,3.26,9.4,5
0.18,7.8,2.3,3.43,10,5
0.31,7.3,2.4,3.41,9.4,6
0.4,8.8,2.2,3.44,9.2,5
0.49,7.7,1.8,3.21,9.3,5
0.16,7.5,1.9,3.38,9.5,7
0.05,7,2,3.39,9.8,5
0.05,7.2,4.65,3.41,10.9,5
0.05,7.2,4.65,3.41,10.9,5
0.11,7.5,1.5,3.42,9.6,5
0.07,6.6,1.6,3.44,10.7,5
0.57,9.3,2,3.28,10.7,5
0.05,8,1.9,3.34,10.5,6
0.08,7.7,1.9,3.32,9.5,6
0.23,7.7,2.1,3.32,9.5,5
0.22,7.7,1.9,3.31,9.5,5
0.26,8.3,2.1,3.31,9.2,4
0.54,9.7,2.5,3.28,9.6,5
0.64,8.8,2.2,3.54,10.5,5
0.64,8.8,2.2,3.54,10.5,5
0,6.8,2.4,3.52,10.7,6
0.12,6.7,2,3.38,10.1,5
0.2,8.3,1.5,3.16,9.1,4
0.2,6.2,1.6,3.41,9.2,5
0.7,7.8,1.9,3.13,9.4,5
0.47,7.4,2,3.36,9.1,5
0.26,7.3,1.8,3.16,9.4,5
0.48,6.3,1.8,3.44,10.3,6
0.15,6.9,2.2,3.41,10.1,5
0.28,8.6,1.9,2.93,9.9,6
0.26,7.7,1.9,3.39,9.6,5
0.44,9.3,2.1,3.14,9.5,5
0.08,7,1.8,3.48,9,5
0.26,7.9,1.9,3.23,9.5,5
0.28,8.6,1.9,2.93,9.9,6
0.29,8.6,2,2.93,9.8,5
0.26,7.7,1.9,3.39,9.6,5
0.04,5,1.4,3.75,10.5,4
0.17,4.7,2.3,3.85,12.9,6
0,6.8,3,3.45,10.7,5
0.25,7,2,3.25,9.2,5
0.06,7.6,2.5,3.39,9.8,5
0.18,8.1,1.9,3.3,9,6
0.3,8.3,2.1,3.4,10.2,6
0.3,7.8,1.9,3.31,10.4,6
0.18,8.1,1.9,3.3,9,6
0.22,8.1,2.1,3.29,9.2,5
0.24,7.2,2.2,3.33,9.4,5
0.22,8.1,2.1,3.29,9.2,5
0.68,7.8,1.7,3.08,9.3,5
0.31,6.2,1.7,3.46,9.3,5
0.53,8,2.5,3.37,9.6,6
0.52,8.1,2,3.21,9.3,5
0.19,7.8,1.8,3.19,9.5,5
0.09,8.4,2.2,3.15,9.8,5
0.1,8.4,2.2,3.15,9.8,5
0.44,10.1,2.3,3.32,9.7,6
0.19,7.8,1.8,3.19,9.5,5
0.31,9.4,2.2,3.07,10.5,6
0.28,8.3,1.9,3.39,10,6
0.12,7.8,2,3.37,9.4,6
0.04,8.8,2.2,3.21,10.9,6
0.08,7,1.8,3.34,9.2,6
0.09,7.3,1.7,3.3,9,5
0.04,8.8,2.2,3.21,10.9,6
0,7.3,2.5,3.49,9.2,5
0,8,2.6,3.44,9.5,5
0.17,7.8,1.6,3.39,9.5,5
0.04,9,1.9,3.16,9.4,5
0,8.2,1.7,3.53,10.9,5
0,8.1,1.8,3.54,10.9,5
0.16,8,1.8,3.42,10.5,7
0.15,6.1,1.8,3.42,9.4,5
0.56,8,2,3.24,9.4,5
0.09,5.6,2.3,3.63,13,5
0.09,5.6,2.3,3.63,13,5
0.01,6.6,1.5,3.4,9.8,6
0.05,7.9,2.2,3.22,9.9,6
0.11,8.4,1.9,3.19,9.6,5
0.15,8.3,1.8,3.23,9.5,5
0.36,7.2,2,3.48,9.2,5
0.19,7.8,2.1,3.33,9.5,5
0.19,7.8,2,3.32,9.5,5
0.11,8.4,1.9,3.19,9.6,5
0.15,8.3,1.8,3.23,9.5,5
0,5.2,1.8,3.68,14,6
0.08,6.3,1.7,3.34,9.4,5
0,5.2,1.8,3.68,14,6
0.55,8.1,1.8,3.17,9.4,5
0.02,5.8,1.8,3.54,10,5
0.26,7.6,1.6,3.11,9.3,5
0.1,6.9,2.3,3.42,10.2,6
0.44,8.2,2.8,3.53,10.5,6
0.47,7.3,2.1,3.33,10.3,6
1,9.2,3.4,2.74,9.4,4
0.03,7.5,1.8,3.35,10.1,5
0.03,7.5,1.8,3.35,10.1,5
0.42,7.1,5.5,3.42,10.5,5
0.42,7.1,5.5,3.42,10.5,5
0.42,7.1,5.5,3.42,10.5,5
0.42,7.1,5.5,3.42,10.5,5
0,7.1,2.2,3.48,9.3,5
0.18,6.8,1.9,3.59,9.3,6
0.03,7.6,2,3.2,9.6,5
0.02,7.6,1.3,3.17,9.2,4
0.04,7.8,1.7,3.33,10,6
0.26,7.4,7.3,3.37,9.4,5
0.26,7.3,7.2,3.37,9.4,5
0.48,7.8,1.7,3.19,9.5,5
0.1,6.8,2.1,3.34,10.2,5
0.03,7.3,1.6,3.37,9,4
0.07,6.8,2.1,3.47,10.4,6
0.24,7.5,1.8,3,9.5,5
0.03,7.9,1.8,3.36,9.1,4
0.17,8,2,3.29,9.2,6
0.17,8,2,3.29,9.2,6
0.05,7.4,1.9,3.42,11.5,6
0.21,7.3,2,3.33,9.5,5
0.04,6.9,1.5,3.35,9.5,5
0.21,7.3,2,3.33,9.5,5
0.42,7.5,2.3,3.58,10.5,6
0,7,2.5,3.48,9.6,5
0.14,8.8,2.4,3.19,9.5,5
0.14,8.8,2.4,3.19,9.5,5
0.49,8.9,2,3.12,9.3,5
0.02,7.2,2.5,3.44,9.3,5
0.2,6.8,1.8,3.54,9.3,5
0.21,6.7,1.9,3.52,9.3,6
0.57,8.9,2,3.26,9.7,5
0.48,7.4,2,3.34,9.2,5
0.1,7.7,2.6,3.39,9.7,5
0.33,7.9,2,3.2,9.5,5
0.32,7.9,1.9,3.2,9.5,5
0.35,8.2,2.9,3.23,9.4,5
0.25,6.4,1.9,3.57,9.8,6
0.12,6.8,3.8,3.28,9.5,5
0.21,7.6,2.2,3.28,9.7,5
0.21,7.6,2.2,3.28,9.7,5
0.33,7.8,2,3.25,9.4,5
0.3,7.3,2.4,3.46,10.2,5
0.6,11.5,2,3.11,10.1,6
0.08,5.4,1.2,3.57,13,7
0.06,6.9,2.1,3.51,11.4,4
0.47,9.6,1.4,3.22,10.3,7
0.48,8.8,2.1,3.04,9.3,5
0.11,6.8,1.5,3.36,9.5,5
0.35,7,1.6,3.34,9.2,5
0.36,7,1.6,3.34,9.2,6
0.74,12.8,2.6,3.2,10.8,7
0.74,12.8,2.6,3.2,10.8,7
0.31,7.8,1.8,3.29,9.3,5
0.28,7.8,2.7,3.22,9.4,5
0.58,11,2.1,3.31,10.5,7
0.6,9.7,2,3.3,12.4,6
0.24,8,2.8,3.35,10,6
0.64,11.6,2.1,3.21,10.2,6
0.26,8.2,2.2,3.3,10.1,5
0.08,7.8,2.4,3.24,9.8,6
0.49,7,5.6,3.34,10.5,5
0.16,8.7,2,3.14,11,5
0.22,8.1,2.2,3.36,9.1,5
0.19,7.5,1.9,3.39,9.7,5
0.33,7.8,2.4,3.3,9.5,5
0.37,7.8,2,3.34,9.4,6
0.26,7.4,2,3.15,9.4,5
0.04,6.8,1.5,3.42,9.5,5
0.25,8.6,2,3.28,10,6
0.36,8.4,2,3.31,10.4,4
0.25,7.7,2.6,3.37,10.5,6
0.5,8.9,2,3.04,9.5,6
0.14,9,2.6,3.39,9.8,5
0.25,7.7,2.6,3.37,10.5,6
0.25,6.9,2.6,3.46,11,5
0.04,5.2,1.6,3.54,12.2,7
0.06,8,1.8,3.37,9.9,6
0.2,8.5,2.8,3.34,9.6,6
0.25,6.9,2.6,3.46,11,5
0.09,8.2,2.3,3.32,9,6
0,7.2,1.9,3.37,9,6
0,7.2,1.9,3.37,9,6
0,7.2,1.9,3.37,9.2,6
0,7.2,1.9,3.37,9,6
0.09,8.2,2.3,3.32,9,6
0.37,8.9,1.7,3,9.3,5
0.56,12,2.1,3.14,10.9,6
0.1,7.7,1.8,3.08,9.8,6
0.44,15,2.2,3.07,9.2,7
0.44,15,2.2,3.07,9.2,7
0,7.3,2,3.61,9.9,6
0.07,7.1,1.9,3.38,9.5,5
0.17,8.2,2.3,3.2,9.3,5
0.06,7.7,1.7,3.35,9.8,6
0,7.3,2,3.61,9.9,6
0.44,10.8,1.6,3.22,10,6
0,7.1,1.8,3.47,9.9,6
0.48,11.1,3.1,3.17,10.5,5
0.42,7.7,1.9,3.23,9.5,5
0,7.1,1.8,3.47,9.9,6
0.23,8,3.2,3.26,9.3,5
0.37,9.4,2.2,3.22,9.2,5
0,6.6,2.1,3.49,9.2,5
0.76,7.7,1.8,3.06,9.4,5
0.47,10,2.6,3.36,10.5,7
0.23,7.9,1.7,3.29,9.3,5
0.04,7,2,3.35,9.4,4
0.03,8,1.7,3.34,10,5
0.23,7.9,1.8,3.28,9.3,5
0.49,12.5,2.4,3.08,10.9,5
0.52,11.8,1.8,3.2,10.2,7
0,8.1,3.3,3.6,9.8,4
0.46,7.9,3.6,3.35,12.8,8
0.04,6.9,3,3.69,9.4,6
0.51,11.5,4,3.28,10.1,6
0.06,7.9,4,3.36,10.7,6
0.51,11.5,4,3.28,10.1,6
0.58,10.9,4,3.22,10.1,5
0.2,8.4,2.4,3.31,9.4,5
0.18,7.5,7,3.38,9.4,5
0.06,7.9,4,3.36,10.7,6
0.04,6.9,3,3.69,9.4,6
0.51,11.5,4,3.28,10.1,6
0.45,10.3,6.4,3.23,12.6,8
0.32,8.9,5.6,3.38,10.5,7
0.44,11.4,3.6,3.12,9.3,6
0.68,7.7,3.5,3.25,9.9,7
0.12,7.6,3,3.36,9.1,5
0.32,8.9,5.6,3.38,10.5,7
0.07,9.9,3.4,3.31,9.8,5
0.07,9.9,3.4,3.31,9.8,5
0.55,12,2,3.1,10.3,6
0.12,7.5,3,3.37,10.3,6
0.09,8.7,2.5,3.34,10.6,7
0.53,11.6,3.3,3.2,9.2,5
0.09,8.7,2.5,3.34,10.6,7
0.48,11,2,3.3,10.5,5
0.23,10.4,2.7,3.22,10.3,6
0.25,6.9,2.4,3.41,10.1,6
0.52,13.3,3.2,3.05,9.5,6
0.46,10.8,2.5,3.05,9.5,5
0.37,10.6,2.6,3.16,9.9,5
0.06,7.1,2,3.67,9.6,5
0.02,7.2,2.3,3.67,9.7,5
0.06,6.9,2.1,3.68,9.6,5
0.06,7.5,2.6,3.38,10.7,6
0.48,11.1,1.5,3.22,10.1,6
0.12,8.3,2.6,3.51,10,5
0.12,7.4,1.6,3.39,9.5,5
0.6,8.4,2.1,3.2,9.2,5
0.48,10.3,2.5,3.12,9.3,6
0.32,7.6,2.2,3.36,9.4,5
0.42,10.3,2.4,3.19,9.5,6
0.44,10.3,2.4,3.19,9.5,6
0.38,7.4,1.7,3.41,9.5,6
0.48,10.3,2.5,3.12,9.3,6
0.24,7.9,2,3.27,9.4,6
0.31,9,2.8,3.32,9.5,6
0.3,8.6,3,3.3,9.4,5
0.29,7.4,2.6,3.39,11,5
0.29,7.1,2.5,3.42,11,6
0.23,9.6,3.4,3.3,10.1,5
0.12,9.6,2.9,3.3,10.4,6
0.39,9.8,3.2,3.37,11.5,7
0.12,9.6,2.9,3.3,10.4,6
0.39,9.8,3.2,3.37,11.5,7
0.26,9.3,3.4,3.24,9.7,5
0.05,7.8,2.3,3.29,9.3,5
0.42,10.3,2.8,3.28,9.5,6
0.2,10,11,3.16,9.2,6
0.2,10,11,3.16,9.2,6
0.66,11.6,3.65,3.05,11.5,7
0.5,10.3,4.5,3.28,11.5,5
0.62,13.4,2.6,3.16,9.7,6
0.39,10.7,2,3.18,9.5,5
0.64,10.2,2.9,3.23,12.5,6
0.64,10.2,2.9,3.23,12.5,6
0.28,8,3.2,3.22,9.4,6
0.08,8.4,2.1,3.13,11,5
0.01,7.9,2.5,3.34,11.7,7
0.53,11.9,3.4,3.17,12.2,7
0.45,8.9,1.9,3.35,12.5,6
0.32,7.8,2.8,3.31,10.3,5
0.58,12.4,3,3.16,11.5,6
0.54,12.5,2.3,3.11,9.8,7
0.5,12.2,2.4,3.12,9.2,6
0.48,10.6,2.7,3.21,11.3,6
0.47,10.9,1.8,3.3,9.8,6
0.47,10.9,1.8,3.3,9.8,6
0.5,11.9,2.6,3.12,10.7,6
0,7,1.9,3.6,9.9,5
0.02,6.6,2.7,3.58,12.3,7
0.67,13.8,3,3.02,12,6
0.31,9.6,2.8,3.11,10,6
0,9.1,2.6,3.36,9.4,6
0.22,10.7,2.7,3.28,9.9,6
0,9.1,2.6,3.35,9.4,6
0,7.7,2.4,3.27,9.3,5
0.79,13.5,4.8,3.18,13,5
0.4,6.1,1.4,3.25,11.9,6
0.01,6.7,2.4,3.55,12.8,6
0.52,11.5,3,3.26,11,5
0.66,10.5,2.95,3.24,11.7,7
0.66,11.9,3.1,3.15,10.4,7
0.66,12.6,2.6,3.17,9.8,6
0.23,8.2,2,3.19,9.4,5
0.31,8.6,2.6,3.37,9.9,6
0.66,11.9,2.5,3.05,10,5
0.63,12.5,2,2.99,10.2,5
0.66,12.8,5.8,3.07,10,7
0.5,10,3.4,3.26,11.8,6
0.66,12.8,5.8,3.07,10,7
0.61,10.4,2.6,3.16,9,5
0.52,10.3,2.8,3.18,9.4,5
0.53,9.4,2.4,3.2,12,7
0.02,6.9,2.3,3.57,9.9,5
0.4,7.9,1.6,3.32,8.7,6
0.48,9.1,1.8,3.32,10.6,6
0.22,7.4,2.2,3.05,9.2,5
0.63,14,3.8,3.01,10.8,6
0.71,11.5,4.4,3.01,11.8,7
0.5,11.5,3,3.26,11,6
0.53,9.4,2.4,3.2,12,7
0.66,11.4,6.2,3.11,13.3,6
0.38,8.3,2.5,3.31,10.8,6
0.42,8.3,2,3.21,9.4,6
0.68,13.7,2.9,3.06,10,6
0.42,8.3,2,3.21,9.4,6
0.42,8.3,2,3.21,9.4,6
0.28,7.7,2.1,3.42,9.2,5
0.07,7.4,2.4,3.43,9.7,6
0.26,7.8,2,3.41,9.2,6
0.15,8.3,1.9,3.31,9.6,6
0.26,7.8,1.9,3.43,9.2,6
0.31,9.6,2.5,3.19,10,7
0.05,5.6,1.4,3.56,12.9,8
0.68,13.7,2.9,3.06,10,6
0.52,9.5,2,3.18,9.5,5
0.61,8.4,2,3.16,9.1,5
0.65,12.7,2.3,3.03,9.9,5
0.76,12,4.2,3.22,13,7
0.02,6.6,7.9,3.47,9.9,5
0.59,11.5,2.6,3.18,11,6
0.59,11.5,2.6,3.18,11,6
0.22,8.7,2.3,3.1,9.4,5
0.02,6.6,7.9,3.47,9.9,5
0.3,7.7,1.7,3.29,10.8,6
0.54,12.2,2.6,3.1,10.5,6
0.49,11.4,2.7,3.15,10.5,6
0.05,7.7,2.7,3.26,9.1,5
0.46,8.7,1.4,3.36,10.1,6
0.47,9.8,2.5,3.24,10.8,6
0.66,12,3,3.18,10.8,7
0.58,10.4,3.7,3.19,11.3,6
0.49,12.5,4.5,3.05,9.6,4
0.34,9,2.5,3.38,9.5,6
0.35,9.1,2.4,3.38,9.5,5
0.16,7.1,1.9,3.27,9.3,5
0.53,9.9,6.7,3.27,11.7,7
0.34,8.8,2.7,3.26,9.5,5
0.24,8.6,6.6,3.32,9.3,5
0.64,10.6,2.2,3.26,11.7,6
0.12,7,1.9,3.44,10.5,5
0.51,11.9,2,3.24,10.4,6
0,6.8,1.8,3.62,9.9,5
0.33,9.5,2.4,3.28,11.8,7
0.03,6.6,2.3,3.52,12.3,7
0.2,7.7,2,3.36,10.9,5
0.47,10.5,2.1,3.15,11,7
0.2,7.7,2,3.36,10.9,5
0.03,6.6,2.3,3.52,12.3,7
0.08,6.4,2.1,3.49,11.4,6
0.22,9.5,1.9,3.26,10.6,6
0.33,9.1,1.3,3.24,9.3,5
0.63,12.8,2.4,3.1,10.4,6
0.47,10.5,2.1,3.15,11,7
0.35,7.8,2.2,3.25,9.2,5
0.69,11.9,2.3,3,12.8,6
0.63,12.3,2.3,3.16,9.5,5
0.55,10.4,3.2,3.15,9.9,6
0.63,12.3,2.3,3.16,9.5,5
0.3,8,2,3.26,10.2,6
0.73,11.1,3.2,3.17,11.2,6
0.55,10.4,3.2,3.15,9.9,6
0.18,7,1.5,3.08,9.3,5
0.72,12.6,2.2,2.88,9.8,8
0.65,11.9,2.15,3.06,11.3,6
0.76,15.6,3.7,2.95,11.2,7
0.49,10,2.7,3.23,11.6,7
0.01,5.3,1.7,3.57,12.5,7
0.1,9.5,2.1,3.23,10.1,6
0.6,12.5,2.6,3.1,10.5,5
0.29,9.3,2.1,3.22,11.2,5
0.22,8.6,2,3.2,10.2,6
0.69,11.9,2.8,3.1,10.8,6
0.69,11.9,2.8,3.1,10.8,6
0.53,8.4,1.8,3.06,9.1,6
0.03,6.8,1.7,3.44,10,6
0.63,10.4,2.8,3.26,11.2,7
0.4,7,1.6,3.5,11.1,5
0.67,11.3,5.2,3.22,13.4,8
0.39,8.9,2.3,3.37,10.3,5
0.21,9.2,2.7,3.28,9.6,5
0.63,10.4,2.8,3.26,11.2,7
0.66,11.6,2.2,3.25,9,3
0.52,9.2,2.3,3.35,11.3,6
0.22,8.3,2.6,3.26,9.3,5
0.68,11,2.55,3.18,11.8,5
0.7,8.1,2.2,3.08,9,5
0.54,11.5,2.1,2.98,9.2,6
0.4,10,2.9,3.48,9.7,5
0.42,10.3,2,3.16,11.5,6
0.45,8.8,2.6,3.32,14,6
0.69,11.4,2.1,3.17,9.2,6
0.02,8.7,1.2,3.2,9.8,5
0.65,13,2.6,3.05,10.6,5
0.42,9.6,2.4,3.2,11.4,6
0.55,12.5,2.6,3.15,10.4,6
0.55,9.9,2.1,3.26,10.6,5
0.51,10.5,1.7,3.2,9.4,6
0.24,9.6,2.2,3.14,10.2,5
0.41,9.3,2,3.28,9.7,5
0.49,10.4,1.8,3.18,11,6
0.24,9.6,2.2,3.14,10.2,5
0.11,9.4,2.7,3.19,10.1,6
0.39,10.6,15.5,3.12,9.2,5
0.56,9.4,2.8,3.15,11.7,8
0.59,10.6,2.2,3.04,9.4,5
0.6,10.6,2.2,3.04,9.4,5
0.68,10.6,4.1,3.06,13.4,6
0.39,10.2,1.9,3.17,10,5
0.39,10.2,1.9,3.17,10,5
0.36,10.2,1.8,3.17,10,6
0.55,11.6,2.8,3.32,10.8,7
0.4,9.3,2.6,3.34,10.2,6
0.27,9.3,2.8,3.31,10.6,6
0.5,9.2,2.5,3.34,13.3,7
0.51,8.9,2.6,3.32,13.4,7
0.31,8.7,3,3.48,11.6,6
0.23,6.5,8.3,3.44,12.1,6
0.53,10.7,2.6,3.15,11,8
0.25,7.8,1.9,3.43,9,6
0.32,7.2,2.5,3.32,11.1,5
0.53,10.7,2.6,3.15,11,8
0.31,8.7,3,3.48,11.6,6
0.25,7.8,1.9,3.43,9,6
0.73,10.4,6.55,3.17,12,7
0.73,10.4,6.55,3.17,12,7
0.47,10.5,1.9,3.18,10.9,7
0.42,10.5,1.8,3.21,10.8,7
0.63,10.2,2.9,3.16,12.5,7
0.46,10.4,1.8,3.25,10.8,7
0.55,11.2,2.3,3.17,9.5,6
0.31,10,2.2,3.18,10.2,6
0.75,13.3,2.8,3.04,11.4,7
0.49,12.4,4.6,3.02,9.5,5
0.31,10,2.2,3.18,10.2,6
0.48,10.7,2.1,3.03,9.7,6
0.64,10.5,2.4,3.09,11.8,7
0.64,10.5,2.4,3.09,11.8,7
0.49,8.5,6.1,3.31,9.3,5
0.49,12.5,4.3,3.25,11.9,6
0.49,10.4,2.1,3.16,8.4,3
0.49,10.9,2.8,3.22,11.7,6
0.49,7.3,2.5,3.36,11,5
0.49,9.8,2.7,3.42,10,6
0.49,7.6,2,3.48,9.1,5
0.49,8.2,2.3,3.38,9.8,5
0.49,9.3,2.5,3.22,9.4,5
0.49,9.2,2.4,3.23,9.5,5
0.24,10.4,2.8,3.24,9.9,5
0.49,7.3,2.5,3.36,11,5
0.49,7,2.5,3.39,11.4,6
0.49,8.2,2.6,3.34,8.7,6
0.24,9.9,2.4,3.09,9.4,5
0.24,9.1,2.1,3.41,10.3,6
0.49,11.9,2.7,3.16,10.3,5
